urls,category,keyword1,freq1,keyword2,freq2,keyword3,freq3,keyword4,freq4,keyword5,freq5,keyword6,freq6,keyword7,freq7,keyword8,freq8,keyword9,freq9,keyword10,freq10
http://2btc5sa3gboai65t62ay2u67omw363pbopg5ht3um45ymefstixvjcqd.onion/,cryptocurrency,bitcoin,20,bitcoins,12,onionwallet,9,anonymous,6,secure,5,wallet,5,using,5,mixer,3,laundry,3,simple,3
http://2cjsmv7gvdq3jmfvz3o2x42jlhkghx7tgh2sgkakboysps77suick6yd.onion/,cryptocurrency,bitcoin,6,wallets,6,credit,4,leaked,4,credits,4,price,4,mixer,3,database,2,selected,2,transfer,2
http://2ezyofc26j73hv3xxvsrnbc23dqxhgxqtk5ogcc7y6j5t6rlqquvhzid.onion/,cryptocurrency,earn,8,week,8,interest,6,invest,6,bitcoin,5,investment,4,trust,3,client,3,traders,2,bitcoins,2
http://2yywefj5ge7ijhd4bz4lq4qobrgmyz2n5oou5haliainkqgkuoaiddqd.onion/,cryptocurrency,,,,,,,,,,,,,,,,,,,,
http://7drcqi7ae2v37ten6glnvoii7tgfm3dzolnnafgzh5gonfhil6xfpkyd.onion/,cryptocurrency,bitcoin,17,bitcoins,14,onionwallet,9,anonymous,6,using,6,wallet,4,secure,3,simple,3,cash,3,knows,3
http://5jnj77ajyshfol4w7ccafhg3vdq3l5gvdhslmmiwf6rvffwapc5t7kid.onion/,cryptocurrency,bitcoin,14,operation,12,item,11,coins,10,guarantee,10,cryptomixer,9,letter,8,address,8,current,8,mixing,7
http://5rn3rrzzgcawr5uhoor72er3lk4u3n33n674o6gy6ejrxwkoozf2c3id.onion/,cryptocurrency,,,,,,,,,,,,,,,,,,,,
http://6eszehqthsgyseqcyg27vibtmaqiyzq2njfj3e6cvgvlrqqauyanmkqd.onion/,cryptocurrency,wallet,7,hash,7,password,6,bitcoin,5,extractor,4,information,2,service,2,case,2,help,2,provide,1
http://6vqlua77ndgv6dhau7ezicnjywx7nbamlng4xv2wipxmrk7ilpmozead.onion/,cryptocurrency,bitcoin,236,double,53,btcs,43,invest,27,mining,22,investing,20,generator,19,hours,17,gambling,15,doubler,14
http://7ca5e2wnodo62scwnvl6bwsbuklryudth4iis2uebfufvrmrn2cqrsad.onion/speeduptx/,cryptocurrency,transaction,6,bitcoin,4,speed,4,accelerator,2,speeduptx,2,rebroadcast,2,nodes,2,unconfirmed,2,transactions,2,hours,2
http://cpsexibqgo5pcqtl6q5zrys5ziy4zgbte6m4pojugk332dysy3ohasqd.onion/,adult,porn,9,visit,9,teen,4,best,3,orgasm,3,cute,3,boys,3,young,3,onion,2,collection,2
http://2d7mwsxesehwd5aqa4pq4neejbggi2v3c3vf4ev5hj7g2ejrm6a23iad.onion/,adult,account,18,haked,11,months,9,fresh,8,https,8,livejasmin,8,credits,7,hacked,6,tokens,6,chaturbate,6
http://2jwzopfhrfcha2gthgnrjrucwum7ghr7ncrvdzkbcez3jgeqxtswwxad.onion/,adult,views,50,videos,10,anal,10,porn,8,rape,6,amateur,5,bitch,5,best,4,mature,4,pussy,4
http://2wp7jpbchfbxtl6ggl5suk3wxp2n5e7yvarvv565spuvicawjtkvpeid.onion/,adult,rape,4,violent,3,sadomasochism,3,content,3,teens,1,video,1,tapes,1,real,1,hardcore,1,allowed,1
http://2zkab6j7jgthydaerr7nh7ceo2pkzndqrry7muxyxc6y4v5rvydvvmid.onion/,adult,videos,9,mini,5,tariff,4,lolitas,3,collection,3,terabytes,3,video,3,secure,3,safe,3,mail,3
http://365cp5d73xw73cvxisizplynlndhlxcglzsqmzvedhsnxng5y3ivllqd.onion/,adult,first,2,young,2,girl,2,fucked,2,sister,2,authorized,1,login,1,sign,1,children,1,porno,1
http://3hahykuw3qs4mluvusgxynl4khaoi6byijcakty7ushuzfafgw5dz5ad.onion/,adult,porno,4658,porn,4289,video,1351,free,851,online,461,teen,372,videos,285,tube,230,russian,208,film,165
http://3spveue46jt5fewiwimqvtqyoashoel7sjl3c6zgynnwkqvt547itbyd.onion/,adult,videos,8,mini,6,super,3,welcome,2,links,2,terabytes,2,video,2,photo,2,glad,1,finally,1
http://422eqoay7qwhbgk3h2p7y3b76pcr6ocrozhozcxdjw2zlnsqgbhtbfad.onion/,adult,little,3,love,3,continue,3,weekly,2,uploads,2,contributors,2,around,2,world,2,girls,2,boys,2
http://4tqshnncj64aa3c64xknzrypbnpq6xlig44ehseni3w7oztkxrfopzqd.onion/,adult,access,10,video,5,please,4,price,4,exclusive,4,photo,4,member,3,section,3,collection,3,choose,3
http://22tojepqmpah32fkeuurutki7o5bmb45uhmgzdg4l2tk34fkdafgt7id.onion/,general,cards,33,bitcoin,29,search,24,deep,22,link,15,engine,15,links,15,dark,14,darknet,13,onion,13
http://6pxxjp7l2fervwwxiwr7kkheoed2gch6c2kkpionsjckk2molias2cad.onion/,general,search,4,snow,2,onions,2,hidden,1,services,1,engine,1,minimal,1,powerful,1,deeper,1,places,1
http://27wyhuamw5mcwqdtc3t3i6jpes6m66glmxjtgx7mpkhplniituxin6qd.onion/,general,market,21,markets,17,onion,17,hidden,16,services,14,darknet,11,privacy,11,marketplaces,11,security,11,users,11
http://27zjwyzy2fykq7xwgzi5jjmrzaewvqh2b2447e5mwas5em2b5luseiqd.onion/,general,stream,4,airwave,2,broadcast,2,name,2,description,2,mount,1,point,1,live,1,xspf,1,unspecified,1
http://2cacklzoqtb3nhug4n3hizwxupqreekbeu5c2swachpmefvehvwz5nyd.onion/,general,ducks,1,party,1,settings,1,instances,1,news,1,source,1,donate,1,project,1,clearnet,1,report,1
http://2crftbzxbcoqolvzreaaeyrod5qwycayef55gxgzgfcpqlaxrnh3kkqd.onion/,general,dotya,4,gitea,3,code,2,good,2,like,2,bloat,2,software,2,website,1,requires,1,javascript,1
http://2ev6kqzhbeunwggycxvbucx4tf73ahczqa6xcpmtswexp7qu4bd65myd.onion/,general,caddy,16,site,6,domain,3,records,3,files,3,html,3,caddyfile,3,need,3,everything,3,take,3
http://2jwcnprqbugvyi6ok2h2h7u26qc6j5wxm7feh3znlh2qu3h6hjld4kyd.onion/,general,onion,80,http,77,bitcoin,11,hidden,6,store,6,wiki,5,dark,5,mixer,5,cannabis,5,best,4
http://6k3rosa5oomvthrn6e7gfrdzhuf35zenpg7ymzkitofc4d37zcvcbyqd.onion/,general,play,15,download,15,ducks,2,party,2,monero,1,block,1,music,1,generator,1,height,1,hash,1
http://2nhk4glwvh35tlv66wckm3bd3r5kl5vbt7oex5t7oi7lrh3rh72afzid.onion/,general,,,,,,,,,,,,,,,,,,,,
http://2ofeyrdn7grjb3qrutz63e3odjtuvvlysaxhtiyhojyfauleu6fxpcqd.onion/,general,mind,19,read,10,digital,9,crystals,7,humans,7,information,6,human,6,also,6,physical,6,inspiration,5
http://2ptiqpat72arh757vmedx7erbbbkdgqlxv53hsqt4cymypo2k5y577ad.onion/,general,pookie,2,funny,1,website,1,cutie,1,scientists,1,trust,1,atoms,1,make,1,everything,1,scarecrow,1
http://5wvugn3zqfbianszhldcqz2u7ulj3xex6i3ha3c5znpgdcnqzn24nnid.onion/,general,hidden,13,wiki,12,bitcoin,9,onion,8,store,7,blog,7,services,6,mixer,6,dark,6,email,5
http://2s4yqjx5ul6okpp3f2gaunr2syex5jgbfpfvhxxbbjwnrsvbk5v3qbid.onion/debian/,general,debian,21,information,11,readme,7,mirrors,6,archive,5,releases,5,html,3,indices,3,current,3,released,3
http://2z7le7dgf6jffucj5gc6xv6sbtg7ajvsyoflxthekc3ereoensl4w3yd.onion/,general,shout,3,find,3,screams,3,room,2,would,2,passphrase,2,forgot,2,espanol,1,francais,1,deutsche,1
http://2zjcvkjivm5ykgnbztdbbeaepqqkumogppd235fbvl2xms3qv5hdwdad.onion/,general,data,10,database,4,person,3,provider,2,dark,2,provide,2,personal,2,inquiry,2,legend,1,owner,1
http://5oddxxn7dhjurvsdxjx6qjwz2duxsipkfkhfyeox2z5p3r3bij6z3fid.onion/,general,darknet,12,http,8,onion,8,websites,6,verified,5,guide,3,download,3,link,3,secure,3,bitcoin,3
http://5hl54he7zgxoscax4olsotpbrnsbukniajv2ch2zqhbeckkhrlzkmgid.onion/,general,shipment,6,anonymouslabels,5,create,4,home,3,need,3,anonymous,3,labels,3,ship,3,service,3,shipping,3
http://537ztcntpbmspja4mkpxldpsoc46mqlssnsaklqnfw3gnlpj5glcjgid.onion/,general,securedrop,7,browser,4,security,4,level,4,change,3,english,3,toolbar,2,click,2,preferences,2,recommended,2
http://4rzs2b6hhi7jlq7crwyts6qcxxz4nmkmdkf3sblbjzcbxlj5mgsse5ad.onion/,general,hacking,61,carding,26,method,22,course,21,tools,18,blackhat,15,pakistan,11,cashout,11,dark,10,categories,10
